TeamName,Discipline,Country,Event
Belarus,Rhythmic Gymnastics,Belarus,Group All-Around
Jamaica,Athletics,Jamaica,Men's 4 x 400m Relay
Pavan/Melissa,Beach Volleyball,Canada,Women
Ukraine,Artistic Swimming,Ukraine,Team
United States,Archery,United States of America,Women's Team
Hungary,Swimming,Hungary,Men's 4 x 100m Freestyle Relay
Germany,Swimming,Germany,Men's 4 x 200m Freestyle Relay
New Zealand,Cycling Track,New Zealand,Men's Madison
Rep. of Moldova,Archery,Republic of Moldova,Mixed Team
France,Archery,France,Mixed Team
Australia,Swimming,Australia,Women's 4 x 100m Freestyle Relay
New Zealand,Rugby Sevens,New Zealand,Men
New Zealand,Hockey,New Zealand,Women
Belarus,Artistic Swimming,Belarus,Duet
Korea,Artistic Gymnastics,Republic of Korea,Men's Team
Makroguzova/Kholomina,Beach Volleyball,ROC,Women
Great Britain,Cycling Track,Great Britain,Women's Madison
Sweden,Handball,Sweden,Men
Japan,Football,Japan,Men
Netherlands,Athletics,Netherlands,Men's 4 x 400m Relay
Kenya,Rugby Sevens,Kenya,Men
Republic of Korea,Baseball/Softball,Republic of Korea,Baseball
Hungary,Table Tennis,Hungary,Women's Team
ACHANTA Kamal / BATRA Manika,Table Tennis,India,Mixed Doubles
Canada,Baseball/Softball,Canada,Softball
Egypt,Fencing,Egypt,Men's Sabre Team
Republic of Korea,Fencing,Republic of Korea,Men's �p�e Team
Belgium,Athletics,Belgium,Men's 4 x 400m Relay
Great Britain,Archery,Great Britain,Women's Team
Ludwig/Kozuch,Beach Volleyball,Germany,Women
Colombia,Artistic Swimming,Colombia,Duet
Brazil,Swimming,Brazil,Men's 4 x 100m Freestyle Relay
Romania,3x3 Basketball,Romania,Women
China,Swimming,People's Republic of China,Women's 4 x 200m Freestyle Relay
Brazil,Athletics,Brazil,Men's 4 x 100m Relay
Germany,Athletics,Germany,Women's 4 x 400m Relay
Republic of Korea,Table Tennis,Republic of Korea,Men's Team
Nigeria,Basketball,Nigeria,Women
Chinese Taipei,Archery,Chinese Taipei,Men's Team
Liliana/Elsa,Beach Volleyball,Spain,Women
LEE Sangsu / JEON Jihee,Table Tennis,Republic of Korea,Mixed Doubles
Great Britain,Swimming,Great Britain,Women's 4 x 100m Medley Relay
Poland,Swimming,Poland,Men's 4 x 200m Freestyle Relay
Huberli/Betschart,Beach Volleyball,Switzerland,Women
China,Athletics,People's Republic of China,Women's 4 x 100m Relay
United States,Water Polo,United States of America,Men
New Zealand,Cycling Track,New Zealand,Men's Team Sprint
Argentina,Volleyball,Argentina,Men
Japan,Water Polo,Japan,Women
ROC,Artistic Gymnastics,ROC,Men's Team
"Hong Kong, China",Fencing,"Hong Kong, China",Women's �p�e Team
Great Britain,Artistic Gymnastics,Great Britain,Men's Team
ROC,3x3 Basketball,ROC,Men
